Географска хијерархија - Округ,Географска хијерархија - Општина,Географска хијерархија - Основна школа,Школска година,Број ученика,Просек 6. разред,Просек 7. разред,Просек 8. разред,Просечан број бодова из ОШ,Просек бодова - Матерњи језик,Просек поена - Матерњи језик,Просек станд. скор - Матерњи језик,Просек бодова - Математика,Просек поена - Математика,Просек станд. скор - Математика,Просек бодова - Трећи тест,Просек поена - Трећи тест,Просек станд. скор - Трећи тест,Просек - завршни испит,Укупан просечан број поена
Град Београд,Вождовац,"ОШ ""Карађорђе"", Београд (Вождовац)",2022/23,112,4.58,4.35,4.43,53.47,8.78,12.54,543,10.09,14.41,563,9.83,16.38,540,28.69,93.38
Град Београд,Вождовац,"ОШ ""Милан Ђ. Милићевић"", Београд (Вождовац)",2022/23,185,4.47,4.32,4.37,52.64,9.26,13.23,559,10.47,14.96,576,9.83,16.38,555,29.56,93.01
Град Београд,Вождовац,"ОШ ""Бора Станковић"", Београд (Вождовац)",2022/23,119,4.45,4.45,4.48,53.50,9.09,12.97,553,10.74,15.33,585,10.74,17.88,594,30.56,91.36
Град Београд,Вождовац,"ОШ ""Васа Чарапић"", Бели Поток",2022/23,78,4.30,4.21,4.19,50.81,8.18,11.58,521,8.81,12.59,520,8.65,14.35,508,25.63,90.08
Град Београд,Вождовац,"ОШ ""Ђура Даничић"", Београд (Вождовац)",2022/23,84,3.91,3.83,3.81,46.19,8.07,11.34,515,9.05,12.76,524,8.80,14.55,507,25.92,88.21
Град Београд,Вождовац,"ОШ ""Јајинци"", Београд (Вождовац)",2022/23,62,4.06,3.85,4.01,47.67,9.60,13.41,564,10.43,14.68,570,9.60,15.89,551,29.77,81.80
Град Београд,Вождовац,"ОШ ""Доситеј Обрадовић"", Београд (Вождовац)",2022/23,56,4.28,4.29,4.29,51.43,8.74,12.61,545,9.83,14.27,560,9.88,16.63,578,28.45,81.45
Град Београд,Вождовац,"ОШ ""Војвода Степа"", Београд (Вождовац)",2022/23,86,4.03,3.99,3.95,47.89,7.34,10.55,495,9.21,13.27,533,9.25,15.50,538,25.80,81.31
Град Београд,Вождовац,"ОШ ""Војвода Путник"", Рипањ",2022/23,30,3.85,3.83,3.80,45.89,7.96,10.79,502,8.12,11.00,482,8.99,14.66,508,25.07,75.16
Град Београд,Вождовац,"ОШ ""Вук Караџић"", Рипањ",2022/23,70,4.07,3.88,3.80,47.00,8.16,11.39,516,7.96,11.09,484,9.18,15.18,520,25.30,73.57
Град Београд,Вождовац,"ОШ ""Миодраг Матић"", Београд (Вождовац)",2022/23,6,4.38,4.31,4.38,52.27,13.01,,,12.60,,,11.20,,,36.81,
Град Београд,Вождовац,"Школа за основно и средње образовање ""Вожд"", Београд (Вождовац)",2022/23,7,3.66,3.47,3.70,43.33,7.10,8.00,437,6.85,6.67,378,7.59,8.17,346,21.54,
Град Београд,Чукарица,"ОШ ""Руђер Бошковић"", Београд (Чукарица)",2022/23,36,4.74,4.75,4.71,56.80,8.87,12.67,546,9.84,14.06,555,9.61,16.01,549,28.31,119.64
Град Београд,Чукарица,"ОШ ""Бановић Страхиња"", Београд (Чукарица)",2022/23,122,4.38,4.16,4.15,50.73,8.99,12.72,547,9.19,13.01,530,9.47,15.71,540,27.64,116.74
Град Београд,Чукарица,"ОШ ""Плави Круг"", Београд (Чукарица)",2022/23,27,4.58,4.46,4.47,54.05,6.39,9.12,458,7.92,11.38,486,7.98,13.30,465,22.29,111.21
Град Београд,Чукарица,"ОШ ""Јосиф Панчић"", Београд (Чукарица)",2022/23,164,4.53,4.36,4.38,53.07,9.81,14.02,579,10.73,15.34,585,10.30,17.16,577,30.84,105.72
Град Београд,Чукарица,"ОШ ""Ђорђе Крстић"", Београд (Чукарица)",2022/23,143,4.46,4.39,4.42,53.08,9.33,13.34,562,9.16,13.11,532,9.09,15.15,527,27.59,100.49
Град Београд,Чукарица,"ОШ ""Милош Црњански"", Београд (Чукарица)",2022/23,90,4.61,4.42,4.37,53.59,9.20,13.14,557,10.25,14.64,569,9.55,15.91,529,29.00,97.90
Град Београд,Чукарица,"ОШ ""Филип Кљајић Фића"", Београд (Чукарица)",2022/23,88,4.20,3.99,4.06,48.98,7.51,10.72,500,8.31,11.78,500,9.10,15.14,523,24.92,97.16
Град Београд,Чукарица,"ОШ ""Љуба Ненадовић"", Београд (Чукарица)",2022/23,127,4.48,4.36,4.45,53.15,8.44,12.01,531,9.34,13.29,537,8.94,14.85,520,26.72,96.28
Град Београд,Чукарица,"ОШ ""Мирослав Антић"", Београд (Чукарица)",2022/23,124,4.26,4.11,4.24,50.46,8.58,12.13,535,9.57,13.53,542,9.71,16.11,553,27.86,93.74
Град Београд,Чукарица,"ОШ ""Уједињене Нације"", Београд (Чукарица)",2022/23,174,4.41,4.25,4.26,51.67,8.59,12.27,537,9.23,13.19,534,9.52,15.87,548,27.35,91.76
Град Београд,Чукарица,"ОШ ""Аца Милосављевић"", Рушањ",2022/23,31,4.05,3.85,3.94,47.38,7.38,10.55,497,8.02,11.45,493,8.41,14.02,502,23.81,86.21
Град Београд,Чукарица,"ОШ ""Карађорђе"", Остружница",2022/23,49,4.04,4.02,4.11,48.66,7.21,10.10,486,7.92,11.18,486,9.11,15.17,520,24.24,84.24
Град Београд,Чукарица,"ОШ ""Доситеј Обрадовић"", Умка",2022/23,56,4.30,4.28,4.27,51.41,8.36,11.94,529,8.98,12.82,525,9.05,15.08,525,26.38,81.52
Град Београд,Чукарица,"ОШ ""Браћа Јерковић"", Београд (Чукарица)",2022/23,116,4.13,3.94,4.00,48.28,7.34,10.48,495,8.07,11.52,494,8.40,14.00,499,23.81,80.09
Град Београд,Чукарица,"ОШ ""Душко Радовић"", Сремчица",2022/23,86,4.22,4.18,4.14,50.13,7.96,11.09,511,8.69,11.92,504,8.24,13.64,483,24.89,77.26
Град Београд,Чукарица,"ОШ ""Вук Караџић"", Сремчица",2022/23,114,3.92,3.77,3.78,45.89,8.05,11.47,519,7.63,10.86,478,8.18,13.63,486,23.86,76.68
Град Београд,Чукарица,"ОШ ""Стефан Дечански"", Београд (Чукарица)",2022/23,111,4.04,3.98,4.01,48.12,7.17,10.24,489,8.22,11.74,500,8.59,14.32,502,23.99,75.36
Град Београд,Чукарица,"ОШ ""Бранко Радичевић"", Велика Моштаница",2022/23,37,4.23,3.98,3.91,48.50,7.38,10.54,496,7.92,11.31,489,8.90,14.84,516,24.20,73.33
Град Београд,Чукарица,"ОШ ""Милоје Павловић"", Београд (Чукарица)",2022/23,12,4.45,4.60,4.60,54.57,11.81,,,12.05,,,10.65,,,34.51,
Град Београд,Чукарица,"Школа за основно и средње образовање са домом ""Свети Сава"", Умка",2022/23,6,4.06,4.03,4.43,50.08,13.71,,,13.36,,,11.40,,,38.47,
Град Београд,Земун,"ОШ ""Коста Вујић"", Београд (Земун)",2022/23,10,4.77,4.83,4.91,58.04,11.48,16.40,634,12.43,17.75,643,11.16,18.60,621,35.07,118.37
Град Београд,Земун,"ОШ ""Мајка Југовића"", Београд (Земун)",2022/23,84,4.39,4.21,4.20,51.24,8.84,12.63,545,9.32,13.32,537,9.43,15.72,537,27.59,99.85
Град Београд,Земун,"ОШ ""Горња варош"", Београд (Земун)",2022/23,72,4.25,4.09,4.09,49.73,9.07,12.91,552,11.92,17.02,626,10.66,17.76,585,31.65,97.98
Град Београд,Земун,"ОШ ""Лазар Саватић"", Београд (Земун)",2022/23,98,4.46,4.32,4.30,52.34,8.69,12.40,540,9.95,14.21,559,9.48,15.80,536,28.11,95.95
Град Београд,Земун,"ОШ ""Гаврило Принцип"", Београд (Земун)",2022/23,94,4.17,4.12,4.16,49.79,8.33,11.90,528,8.98,12.85,526,9.20,15.41,515,26.51,95.05
Град Београд,Земун,"ОШ ""Соња Маринковић"", Београд (Земун)",2022/23,90,4.17,3.94,3.88,47.93,8.66,12.37,539,9.24,13.20,534,9.33,15.55,530,27.23,94.79
Град Београд,Земун,"ОШ ""Раде Кончар"", Београд (Земун)",2022/23,86,4.24,4.11,4.15,49.98,8.16,11.61,522,8.55,12.21,511,8.77,14.60,511,25.47,93.29
Град Београд,Земун,"ОШ ""Светозар Милетић"", Београд (Земун)",2022/23,136,4.51,4.39,4.37,53.07,8.90,12.72,547,10.07,14.38,563,9.75,16.25,550,28.72,91.91
Град Београд,Земун,"ОШ ""Бранко Радичевић"", Београд (Земун)",2022/23,200,4.21,4.10,4.08,49.52,8.01,11.42,517,9.14,13.05,531,9.32,15.52,533,26.47,90.74
Град Београд,Земун,"ОШ ""Михајло Пупин"", Београд (Земун)",2022/23,116,4.46,4.23,4.25,51.78,9.34,13.35,562,10.39,14.85,574,9.82,16.37,548,29.56,87.25
Град Београд,Земун,"ОШ Сава Шумановић"", Београд (Земун)",2022/23,127,4.45,4.33,4.30,52.30,8.30,11.79,526,8.55,12.16,510,9.54,15.87,556,26.39,82.81
Град Београд,Земун,"ОШ ""Станко Марић"", Угриновци",2022/23,75,3.92,3.69,3.94,46.20,7.84,11.19,512,9.03,12.89,527,9.45,15.75,543,26.31,82.34
Град Београд,Земун,"ОШ ""Илија Бирчанин"", Београд (Земун)",2022/23,109,4.26,4.09,4.09,49.76,6.97,9.92,482,8.23,11.70,498,8.32,13.81,482,23.39,82.04
Град Београд,Земун,"ОШ ""Петар Кочић"", Београд (Земун)",2022/23,63,4.21,4.24,4.22,50.66,8.34,11.84,527,9.21,13.21,535,9.24,15.39,532,26.80,79.98
Град Београд,Земун,"ОШ ""Светислав Голубовић Митраљета"", Београд (Земун)",2022/23,113,3.90,3.84,3.86,46.42,8.12,11.56,520,8.82,12.60,520,9.09,15.14,526,26.03,74.53
Град Београд,Земун,"ОШ ""Бошко Палковљевић Пинки"", Београд (Земун)",2022/23,85,4.11,3.97,3.83,47.65,7.03,10.01,484,6.63,9.36,443,7.39,12.23,446,21.06,70.54
Град Београд,Земун,"ОШ ""Сутјеска"" , Београд (Земун)",2022/23,20,3.64,3.42,3.57,42.50,5.02,5.86,387,5.43,6.50,374,5.49,7.94,359,15.94,69.96
Град Београд,Земун,"ОШ ""Бранко Пешић"", Београд (Земун)",2022/23,85,2.79,2.96,3.09,35.35,7.44,7.25,413,4.77,6.58,373,6.99,11.67,415,19.33,67.27
Град Београд,Земун,"ОШ ""Радивој Поповић"", Београд (Земун)",2022/23,6,4.83,4.91,4.96,58.81,12.78,,,11.26,,,10.20,,,34.23,
Град Београд,Земун,"ОШ ""Сава Јовановић Сирогојно"", Београд (Земун)",2022/23,16,4.61,4.88,4.97,57.86,13.76,,,13.34,,,11.89,,,38.99,
Град Београд,Земун,"Школа за ученике оштећеног вида ""Вељко Рамадановић"", Београд (Земун)",2022/23,5,3.33,3.29,3.68,41.22,12.18,,695,13.44,,601,11.40,,640,37.02,
Град Београд,Палилула (Београд),"ОШ ""Филип Вишњић"", Београд (Палилула)",2022/23,73,4.28,4.24,4.29,51.23,8.76,12.21,536,8.91,12.33,514,8.42,13.86,482,26.09,117.55
Град Београд,Палилула (Београд),"ОШ ""Старина Новак"", Београд (Палилула)",2022/23,79,4.63,4.39,4.38,53.58,8.88,12.68,547,9.29,13.28,536,9.69,16.16,549,27.87,116.63
Град Београд,Палилула (Београд),"ОШ ""Влада Аксентијевић"", Београд (Палилула)",2022/23,89,4.52,4.48,4.54,54.14,9.65,13.79,572,9.79,13.99,553,10.54,17.57,585,29.98,108.43
Град Београд,Палилула (Београд),"ОШ ""Јован Поповић"", Београд (Палилула)",2022/23,80,4.26,4.05,4.14,49.79,9.32,13.26,558,10.09,14.15,557,9.63,15.89,549,29.04,106.66
Град Београд,Палилула (Београд),"ОШ ""Иван Милутиновић"", Београд (Палилула)",2022/23,47,4.16,4.10,4.14,49.61,8.56,11.97,530,8.63,12.20,511,8.90,14.85,526,26.09,95.20
Град Београд,Палилула (Београд),"ОШ ""Јован Цвијић"", Београд (Палилула)",2022/23,27,3.90,3.80,3.91,46.43,7.60,10.50,495,7.29,9.91,456,8.28,13.83,485,23.16,92.76
Град Београд,Палилула (Београд),"ОШ ""Олга Петров"", Падинска Скела",2022/23,89,4.19,4.10,4.14,49.69,7.15,10.03,484,6.93,9.80,453,8.08,13.35,479,22.15,88.70
Град Београд,Палилула (Београд),"ОШ ""Стеван Дукић"", Београд (Палилула)",2022/23,67,4.21,4.08,4.09,49.53,7.68,10.98,507,8.84,12.65,520,9.47,15.81,538,26.00,86.90
Град Београд,Палилула (Београд),"ОШ ""Ослободиоци Београда, Београд (Палилула)",2022/23,68,4.46,4.22,4.28,51.84,8.40,12.00,531,9.32,13.31,537,9.24,15.40,536,26.95,85.57
Град Београд,Палилула (Београд),"ОШ ""Милена Павловић Барили"", Београд (Палилула)",2022/23,123,4.32,4.20,4.27,51.15,8.18,11.53,520,8.96,12.64,521,9.07,15.00,520,26.20,85.47
Град Београд,Палилула (Београд),"ОШ ""Јован Ристић"", Борча",2022/23,127,4.28,4.05,4.19,50.12,7.84,11.13,510,8.77,12.48,517,9.21,15.32,516,25.83,84.17
Град Београд,Палилула (Београд),"ОШ ""Др Арчибалд Рајс"", Београд (Палилула)",2022/23,55,4.31,4.16,4.09,50.25,7.83,11.02,508,9.13,12.95,528,8.69,14.29,508,25.65,82.45
Град Београд,Палилула (Београд),"ОШ ""Раде Драинац"", Борча",2022/23,191,3.95,3.81,3.96,46.83,7.12,10.08,486,6.77,9.59,448,7.77,12.93,465,21.66,75.91
Град Београд,Палилула (Београд),"ОШ ""Стеван Сремац"", Борча",2022/23,156,4.12,4.03,4.03,48.71,7.41,10.52,496,7.93,11.27,488,8.25,13.72,486,23.59,74.48
Град Београд,Палилула (Београд),"ОШ "" Зага Маливук"", Београд (Палилула)",2022/23,74,4.05,3.72,3.67,45.79,6.88,9.31,470,7.22,10.36,466,8.05,13.50,487,22.15,72.90
Град Београд,Палилула (Београд),"ОШ ""Васа Пелагић"", Београд (Палилула)",2022/23,133,3.87,3.77,3.82,45.86,6.90,9.69,477,7.40,10.48,469,7.86,12.95,457,22.15,70.25
Град Београд,Палилула (Београд),"ОШ ""Краљица Марија"", Овча",2022/23,58,3.95,3.90,4.05,47.62,6.03,8.51,449,6.60,9.32,441,6.65,10.98,417,19.28,68.16
Град Београд,Палилула (Београд),"Школа за основно образовање одраслих ""Браћа Стаменковић"", Београд (Палилула)",2022/23,77,2.44,2.46,2.54,29.74,4.67,4.58,359,4.45,5.52,351,6.23,8.70,348,15.35,61.98
Град Београд,Младеновац,"ОШ ""Живомир Савковић"", Ковачевац",2022/23,33,4.22,4.17,4.21,50.41,7.30,10.42,498,10.67,15.24,584,9.46,15.77,546,27.43,98.59
Град Београд,Младеновац,"ОШ ""Бора Лазић"", Влашка",2022/23,16,4.23,4.10,4.05,49.53,8.88,12.69,547,8.60,12.28,513,9.47,15.78,537,26.95,84.97
Град Београд,Младеновац,"ОШ ""Момчило Живојиновић"", Младеновац (варош)",2022/23,169,4.21,4.09,4.14,49.76,7.39,10.45,494,8.62,12.23,511,8.64,14.35,503,24.66,84.86
Град Београд,Младеновац,"ОШ ""Свети Сава"", Младеновац (варош)",2022/23,93,3.99,3.77,3.81,46.27,7.40,10.56,497,8.55,12.21,511,8.74,14.56,516,24.68,80.93
Град Београд,Младеновац,"ОШ ""Милица Милошевић"", Јагњило",2022/23,23,3.86,3.65,3.71,44.87,6.00,8.39,446,8.80,12.41,516,8.14,13.32,487,22.93,73.06
Град Београд,Младеновац,"ОШ ""Коста Ђукић"", Младеновац (варош)",2022/23,95,3.80,3.61,3.76,44.65,7.00,9.44,471,7.93,10.82,477,8.33,13.45,484,23.27,72.02
Град Београд,Младеновац,"ОШ ""Биса Симић"", Велика Крсна",2022/23,17,3.98,3.95,4.05,47.91,6.46,9.24,466,7.41,10.59,472,10.13,16.88,590,24.01,71.33
Град Београд,Младеновац,"Школа за основно образовање и васпитање одраслих ""Младеновац"", Младеновац (варош)",2022/23,36,2.43,2.61,2.72,31.04,7.93,,,5.78,,,8.67,,,22.38,70.84
Град Београд,Гроцка,"ОШ ""Свети Сава"", Врчин",2022/23,88,4.36,4.14,4.20,50.79,8.90,12.39,540,10.03,14.08,555,10.15,16.77,574,29.08,87.49
Град Београд,Гроцка,"ОШ ""Милоје Васић"", Калуђерица",2022/23,101,4.16,3.97,3.99,48.47,7.19,10.25,490,9.55,13.65,545,9.56,15.93,545,26.30,82.76
Град Београд,Гроцка,"ОШ ""Никола Тесла"", Винча",2022/23,318,4.01,3.89,3.98,47.54,7.68,10.95,506,9.17,13.10,531,9.19,15.30,535,26.05,82.17
Град Београд,Гроцка,"ОШ ""Илија Гарашанин"", Гроцка",2022/23,108,4.04,3.93,4.02,47.97,7.46,10.56,497,7.69,10.89,479,8.41,13.99,481,23.56,78.49
Град Београд,Гроцка,"ОШ ""Алекса Шантић"", Калуђерица",2022/23,158,4.05,3.88,3.99,47.66,7.30,10.43,494,8.76,12.52,518,8.82,14.69,512,24.88,77.62
Град Београд,Гроцка,"ОШ ""Иво Лола Рибар"", Бегаљица",2022/23,28,3.95,3.92,3.94,47.27,6.50,9.29,467,6.70,9.57,448,8.30,13.84,477,21.50,75.80
Град Београд,Гроцка,"ОШ ""Мића Стојковић"", Умчари",2022/23,54,3.94,3.89,3.91,46.99,6.46,9.23,466,7.21,10.31,465,8.14,13.57,482,21.82,70.66
Град Београд,Сурчин,"ОШ ""Бранко Радичевић"", Бољевци",2022/23,53,4.09,3.89,4.00,47.92,8.10,11.57,520,8.73,12.47,517,8.93,14.89,528,25.76,84.75
Град Београд,Сурчин,"ОШ ""Душан Вукасовић Диоген"", Бечмен",2022/23,55,4.23,4.08,4.07,49.50,7.34,10.48,495,8.57,12.24,511,8.50,14.16,501,24.40,82.80
Град Београд,Сурчин,"ОШ ""Вук Караџић"", Сурчин",2022/23,103,4.04,3.96,4.00,48.01,8.13,11.62,522,8.18,11.68,498,8.58,14.30,505,24.88,80.44
Град Београд,Сурчин,"ОШ ""Стеван Сремац"", Добановци",2022/23,95,3.94,3.88,3.92,46.99,8.03,11.38,516,8.76,12.44,516,8.65,14.36,508,25.44,78.39
Град Београд,Сурчин,"ОШ ""22. октобар"", Сурчин",2022/23,79,3.80,3.64,3.63,44.28,8.06,11.17,511,7.78,10.74,476,8.68,14.28,503,24.52,77.43
Град Београд,Сурчин,"ОШ ""Вожд Карађорђе"", Јаково",2022/23,72,3.95,3.74,3.91,46.37,7.55,10.89,502,9.77,13.95,556,8.37,13.95,482,25.69,73.29
Град Београд,Обреновац,"ОШ ""14. октобар"", Барич",2022/23,75,4.06,3.87,3.93,47.41,7.66,10.95,506,8.23,11.76,500,9.06,15.09,511,24.95,92.80
Град Београд,Обреновац,"ОШ ""Посавски партизани"", Обреновац",2022/23,86,4.24,4.04,4.08,49.48,8.34,11.88,528,8.90,12.67,522,9.21,15.39,532,26.45,84.31
Град Београд,Обреновац,"ОШ ""Прва обреновачка основна школа"", Обреновац",2022/23,62,4.04,3.88,3.98,47.59,7.73,11.04,508,7.80,11.15,485,8.86,14.77,506,24.39,80.09
Град Београд,Обреновац,"ОШ ""Јефимија"", Обреновац",2022/23,102,4.14,4.03,4.03,48.80,8.03,11.39,516,8.41,11.97,505,9.22,15.37,533,25.66,75.21
Град Београд,Обреновац,"ОШ ""Јован Јовановић Змај"", Обреновац",2022/23,186,3.84,3.71,3.78,45.33,6.69,9.54,473,7.47,10.65,473,7.84,13.04,471,22.00,74.19
Град Београд,Обреновац,"ОШ ""Дражевац"", Дражевац",2022/23,30,4.06,4.03,4.01,48.35,5.95,8.41,446,6.94,9.71,451,7.86,13.07,466,20.75,70.26
Град Београд,Обреновац,"Школа за основно образовање одраслих ""Обреновац"", Обреновац",2022/23,152,2.36,2.42,2.66,29.72,8.88,,,6.28,,,7.83,,,22.99,69.17
Град Београд,Обреновац,"ОШ ""Никола Тесла"", Скела",2022/23,20,4.09,3.95,4.03,48.30,6.13,8.75,455,6.16,8.80,429,8.45,14.08,502,20.73,69.03
Град Београд,Обреновац,"ОШ ""Грабовац"", Грабовац",2022/23,55,3.87,3.77,3.81,45.81,5.89,8.41,446,6.21,8.87,431,7.42,12.37,445,19.52,67.59
Град Београд,Обреновац,"ОШ ""Живојин Перић"", Стублине",2022/23,71,3.67,3.60,3.74,44.05,6.32,9.02,461,5.95,8.49,422,8.27,13.79,498,20.53,66.25
Град Београд,Обреновац,"ОШ ""Љубомир Аћимовић"", Обреновац",2022/23,5,4.50,4.61,4.60,54.85,11.97,,,10.71,,,10.26,,,32.94,
Град Београд,Барајево,"ОШ ""Кнез Сима Марковић"", Барајево",2022/23,166,4.10,3.82,3.95,47.46,6.27,8.89,457,6.57,9.18,437,8.03,13.27,473,20.90,76.68
Град Београд,Барајево,"ОШ ""Павле Поповић"", Вранић",2022/23,64,3.88,3.81,3.85,46.19,6.85,9.50,472,7.43,10.38,467,8.54,14.13,496,22.81,72.08
Град Београд,Лазаревац,"ОШ ""Свети Сава"", Велики Црљени",2022/23,50,3.95,3.82,3.86,46.48,9.93,14.37,582,11.19,15.98,601,10.45,17.42,594,31.76,90.99
Град Београд,Лазаревац,"ОШ ""Дуле Караклајић"", Лазаревац",2022/23,141,4.13,3.99,4.08,48.78,7.82,10.78,502,7.83,10.98,481,8.89,14.63,514,24.54,81.23
Град Београд,Лазаревац,"ОШ ""Михаило Младеновић Сеља"", Дудовица",2022/23,36,3.88,3.76,3.89,46.12,6.14,8.78,455,6.67,9.53,447,8.09,13.84,474,20.91,78.73
Град Београд,Лазаревац,"ОШ ""Милорад Лабудовић Лабуд"", Барошевац",2022/23,23,3.49,3.34,3.63,41.84,7.44,11.23,512,7.06,11.60,496,7.67,14.40,494,22.17,73.45
Град Београд,Лазаревац,"ОШ ""Војислав Вока Савић"", Лазаревац",2022/23,103,3.99,3.84,3.92,47.01,8.09,11.43,517,7.75,11.03,482,8.31,13.77,484,24.15,71.70
Град Београд,Лазаревац,"ОШ ""Диша Ђурђевић"", Лазаревац",2022/23,20,3.73,3.83,3.98,46.15,6.30,8.39,446,7.74,10.11,461,7.64,11.92,435,21.67,70.42
Град Београд,Лазаревац,"ОШ ""Рудовци"", Рудовци",2022/23,22,3.88,3.71,3.77,45.43,6.70,9.57,474,8.23,11.75,500,9.72,16.20,553,24.65,70.07
Град Београд,Лазаревац,"ОШ ""Кнез Лазар"", Лазаревац",2022/23,112,3.76,3.68,3.73,44.67,7.26,10.29,493,8.51,12.09,510,8.20,13.61,487,23.98,69.73
Град Београд,Лазаревац,"ОШ ""Вук Караџић"", Степојевац",2022/23,36,3.89,3.85,3.89,46.52,6.66,9.21,465,6.75,9.64,449,7.23,12.06,429,20.64,68.79
Град Београд,Лазаревац,"ОШ ""Слободан Пенезић Крцун"", Јунковац",2022/23,22,3.67,3.49,3.51,42.67,6.16,8.38,446,5.63,7.52,399,7.80,13.02,478,19.59,62.99
Град Београд,Сопот,"ОШ ""Цана Марјановић"", Раља",2022/23,48,3.98,3.80,3.78,46.23,7.18,9.79,473,5.48,8.76,421,8.68,13.94,480,21.33,75.55
Град Београд,Сопот,"ОШ ""Милорад Мића Марковић"", Мала Иванча",2022/23,34,3.68,3.62,3.70,44.02,6.69,9.02,461,6.73,9.03,435,6.66,10.73,419,20.09,70.96
Град Београд,Сопот,"ОШ ""Јанко Катић"", Рогача",2022/23,17,3.63,3.59,3.78,44.03,7.02,10.03,484,8.09,11.56,495,8.96,14.94,514,24.08,68.10
Град Београд,Сопот,"ОШ ""Јелица Миловановић"", Сопот",2022/23,73,3.72,3.55,3.66,43.72,6.05,8.56,450,6.99,9.90,456,8.07,13.42,491,21.10,67.16
Севернобачки управни округ,Суботица,"ОШ ""Кизур Иштван"", Суботица",2022/23,83,4.47,4.29,4.28,52.19,8.13,11.63,526,8.73,12.45,517,9.09,15.15,521,25.96,112.22
Севернобачки управни округ,Суботица,"ОШ ""10. октобар"", Суботица",2022/23,52,4.55,4.46,4.46,53.87,8.53,12.19,542,8.60,12.28,512,8.58,14.31,505,25.71,109.27
Севернобачки управни округ,Суботица,"ОШ ""Јован Јовановић Змај"", Суботица",2022/23,84,4.19,4.05,4.00,48.96,7.92,11.68,525,8.22,12.58,519,9.01,15.72,545,25.15,108.77
Севернобачки управни округ,Суботица,"ОШ ""Матко Вуковић"", Суботица",2022/23,77,4.39,4.20,4.22,51.25,7.13,10.15,478,7.88,11.18,486,8.35,13.91,499,23.35,103.54
Севернобачки управни округ,Суботица,"ОШ ""Мирослав Антић"", Палић",2022/23,62,4.24,4.13,4.10,49.86,8.13,11.63,530,7.80,11.34,490,7.83,13.05,465,23.76,97.88
Севернобачки управни округ,Суботица,"ОШ ""Соња Маринковић"", Суботица",2022/23,97,4.26,4.12,4.12,49.98,8.82,12.49,542,9.36,13.35,538,8.76,14.64,510,26.94,94.41
Севернобачки управни округ,Суботица,"ОШ ""Јован Микић"", Суботица",2022/23,97,4.64,4.52,4.62,55.14,7.80,11.08,511,8.61,12.27,512,8.74,14.52,513,25.16,92.33
Севернобачки управни округ,Суботица,"ОШ ""Мајшански пут"", Суботица",2022/23,65,4.30,4.07,4.18,50.21,7.64,10.63,505,7.67,10.94,480,7.98,13.27,483,23.29,90.95
Севернобачки управни округ,Суботица,"ОШ ""Вук Караџић"", Бајмок",2022/23,65,4.16,3.93,3.96,48.15,5.76,8.58,453,6.22,9.18,438,8.14,13.66,498,20.22,89.25
Севернобачки управни округ,Суботица,"ОШ ""Пионир"", Стари Жедник",2022/23,13,3.98,3.87,4.08,47.74,8.21,11.73,524,9.15,13.08,532,10.25,17.08,594,27.61,89.20
Севернобачки управни округ,Суботица,"ОШ  ""Хуњади Јанош"", Чантавир",2022/23,47,4.42,4.32,4.17,51.63,6.90,9.99,497,6.80,9.84,454,6.94,11.75,428,20.64,86.81
Севернобачки управни округ,Суботица,"ОШ ""Свети Сава"", Суботица",2022/23,67,4.17,4.05,4.08,49.20,6.96,9.80,479,8.00,11.42,492,8.60,14.27,509,23.55,85.55
Севернобачки управни округ,Суботица,"ОШ ""Петефи Шандор"", Хајдуково",2022/23,32,3.98,3.82,3.76,46.21,6.63,9.47,488,6.26,8.94,432,7.43,12.39,456,20.32,83.57
Севернобачки управни округ,Суботица,"ОШ ""Матија Губец"", Доњи Таванкут",2022/23,31,3.98,3.72,3.75,45.81,6.03,8.18,441,7.23,10.41,468,7.70,12.96,482,20.96,83.14
Севернобачки управни округ,Суботица,"ОШ ""Иван Горан Ковачић"", Суботица",2022/23,52,4.39,4.21,4.13,50.91,6.75,9.48,473,8.14,11.51,494,8.21,13.60,473,23.10,82.10
Севернобачки управни округ,Суботица,"ОШ ""Сечењи Иштван"", Суботица",2022/23,103,4.11,4.11,4.10,49.27,6.50,9.24,475,6.36,9.06,435,7.00,11.62,424,19.86,81.72
Севернобачки управни округ,Суботица,"ОШ ""Владимир Назор"", Ђурђин",2022/23,6,4.42,4.34,4.35,52.42,7.93,11.33,515,8.75,12.50,518,9.45,15.75,551,26.13,78.55
Севернобачки управни округ,Суботица,"ОШ ""Боса Милићевић"", Нови Жедник",2022/23,8,4.27,4.08,4.12,49.84,8.23,11.75,525,8.49,12.13,509,9.30,15.50,545,26.01,75.85
Севернобачки управни округ,Суботица,"ОШ ""Иван Милутиновић"", Суботица",2022/23,63,4.18,4.16,4.20,50.15,7.26,10.11,478,7.48,10.75,476,8.26,13.58,486,23.00,72.94
Севернобачки управни округ,Суботица,"ОШ ""Ђуро Салај"", Суботица",2022/23,31,3.83,3.70,3.84,45.47,4.40,6.13,397,4.79,6.64,378,6.32,9.79,384,15.51,65.80
Севернобачки управни округ,Суботица,"Основна и средња школа ""Др Светомир Бојанин"", Суботица",2022/23,15,4.75,4.68,4.60,56.10,13.25,,,13.98,,,11.58,,,38.81,
